,zip,city,county,lat,long
438,90810,Long Beach,Los Angeles,33.8193,-118.2325
439,90049,Los Angeles,Los Angeles,34.066,-118.474
440,92883,Corona,Riverside,33.7541,-117.474
441,93657,Sanger,Fresno,36.7243,-119.5478
442,92065,Ramona,San Diego,33.0293,-116.8535
443,95821,Sacramento,Sacramento,38.6239,-121.3837
444,95062,Santa Cruz,Santa Cruz,36.9721,-121.9881
445,95340,Merced,Merced,37.2983,-120.4649
446,93705,Fresno,Fresno,36.7863,-119.8286
447,94588,Pleasanton,Alameda,37.6873,-121.8957
448,93405,San Luis Obispo,San Luis Obispo,35.2901,-120.6817
449,94124,San Francisco,San Francisco,37.7309,-122.3886
450,92869,Orange,Orange,33.7868,-117.7934
451,95973,Chico,Butte,39.8032,-121.8673
452,91711,Claremont,Los Angeles,34.1092,-117.7183
453,92240,Desert Hot Springs,Riverside,33.9531,-116.5219
454,92831,Fullerton,Orange,33.8873,-117.8946
455,92139,San Diego,San Diego,32.6806,-117.0474
456,91326,Northridge,Los Angeles,34.2619,-118.582
457,90029,Los Angeles,Los Angeles,34.09,-118.2944
458,94063,Redwood City,San Mateo,37.4815,-122.2091
459,91752,Mira Loma,Riverside,33.9938,-117.5236
460,94404,San Mateo,San Mateo,37.5538,-122.27
461,92807,Anaheim,Orange,33.8544,-117.7858
462,95128,San Jose,Santa Clara,37.3163,-121.9356
463,90062,Los Angeles,Los Angeles,34.0032,-118.3073
464,92649,Huntington Beach,Orange,33.718,-118.0505
465,93012,Camarillo,Ventura,34.2218,-118.9866
466,91768,Pomona,Los Angeles,34.0662,-117.7763
467,94603,Oakland,Alameda,37.7402,-122.171
468,93612,Clovis,Fresno,36.8149,-119.7106
469,95667,Placerville,El Dorado,38.7195,-120.8046
470,90621,Buena Park,Orange,33.8772,-117.9893
471,92660,Newport Beach,Orange,33.6295,-117.8684
472,91601,North Hollywood,Los Angeles,34.1687,-118.3713
473,94952,Petaluma,Sonoma,38.2403,-122.6777
